code,purpose
1,Commute
2,Go_School
3,Back_Home
4,Shopping_Daily
5,Go_Eat
6,Private_Movement
7,Delivering
8,Attend_Meeting
9,Go_Occupation
10,Go_Agricultural_Work
11,Go_Other_Business
12,Commute
13,Go_Other_Business
14,Go_Other_Business
99,House
