code,purpose
1,Commute
2,Go_School
3,Back_Home
4,Shopping_Daily
5,Shopping_Nondaily
6,Go_Eat
7,Go_Sightseeing
8,Private_Movement
9,Pickup&Drop_Off 
10,Delivering
11,Attend_Meeting
12,Go_Occupation
13,Go_Agricultural_Work
14,Go_Other_Business
