code,purpose
1,Commute
2,Go_School
3,Back_Home
4,Commute
5,Shopping_Daily
6,Pickup&Drop_Off
7,Go_Eat
8,Go_Sightseeing
9,Go_Recreational_Facility
10,Go_Exercise
11,Private_Movement
12,Go_Sightseeing
13,Private_Movement
14,Delivering
15,Attend_Meeting
16,Go_Occupation
17,Go_Agricultural_Work
18,Go_Other_Business
