code,purpose,,,,,,,
1,Commute,,,,,,,
2,Go_School,,,,,,,
3,Back_Home,,,,,,,
4,Shopping_Daily,,,,,,,
5,Shopping_Nondaily,,,,,,,
6,Go_Eat,,,,,,,
7,Private_Movement,,,,,,,
8,Delivering,,,,,,,
9,Attend_Meeting,,,,,,,
10,Go_Occupation,,,,,,,
11,Go_Agricultural_Work,,,,,,,
12,Go_Sightseeing,,,,,,,
13,Go_Other_Business,,,,,,,
14,Commute,,,,,,,
15,Commute,,,,,,,
16,Go_School,,,,,,,
,,,,,,,,
