code,purpose
1,Commute
2,Go_School
3,Back_Home
4,Delivering
5,Attend_Meeting
6,Go_Occupation
7,Go_Agricultural_Work
8,Go_Other_Business
9,Commute
10,Shopping_Daily
11,Go_Eat
12,Go_Sightseeing
13,Pickup&Drop_Off
14,Private_Movement
15,Private_Movement
16,Commute
