code,purpose
1,Commute
2,Commute
3,Go_School
4,Delivering
5,Attend_Meeting
6,Go_Occupation
7,Commute
8,Commute
9,Go_Other_Business
10,Go_Agricultural_Work
11,Go_Agricultural_Work
12,Shopping_Daily
13,Go_Eat
14,Go_School
15,Private_Movement
16,Pickup&Drop_Off 
17,Private_Movement
18,Private_Movement
19,Commute
20,Commute
21,Go_School
22,Back_Home
