code,purpose
1,Commute
2,Go_School
3,Shopping_Daily
4,Private_Movement
5,Go_Eat
6,Go_Eat
7,Pickup&Drop_Off
8,Private_Movement
9,Commute
10,Go_School
11,Back_Home
99,House
